"WorkID","Title","Author","Year","NumBorrowers","x","y"
3114,"Doctor of Crow's Nest, The","Connor","1906",39,-35.633666302645,40.477428498439
19150,"David Harum: A Story of American Life","Westcott","",14,18.7808250943278,-36.8176658943807
-313835688,"Town and Bush","Gould","1896",32,31.0586668137646,30.9957059301358
468125966,"Ten Thousand a-Year","Warren","1841",1,26.0576222037160,-0.279653763091613
875144713,"Mettle of the Pasture, The","Allen","1903",24,-19.2078118623801,5.23123977431291
-676929927,"St Martin's Eve","Wood","1866",26,-12.2870953429957,-47.7715196231695
1382261419,"Eye for an Eye, An","Le Queux","1900",39,-12.4633204971682,-28.5225686133896
-1886877839,"King of the Ranges","Gould","1902",37,35.8684124113295,29.9692511792708
-2088170250,"Sign of the Cross, The","Barrett","",37,27.6965239444595,25.9118278308409
1361354386,"Double Barrelled Detective Story, A","Twain","1902",32,-11.9919562955564,14.7205191723026
1347371947,"Mr Wingrave, Millionaire","Oppenheim","1906",62,-27.1901219515892,37.9110639903781
-683310396,"Man from Red Keg, The","Thwing","1905",25,-5.784928092882,32.9949239079368
5452,"Geoffrey Hamlyn","Kingsley","",2,35.1454332765733,-4.1015060514884
5368,"Felix Holt","Eliot","1866",2,55.0626917809216,-17.6071322322631
-1833471253,"Vicomte De Bragelonne, The","Dumas","",4,27.9288686256944,-4.98795972528575
36200093,"Jesters, The","Rita","1903",32,-22.8982205636336,29.0555110172656
-1639511846,"Master of Men","Oppenheim","1901",82,-12.5502615263378,-19.5421065731024
1115887031,"Master's Violin, The","Reed","1904",37,-32.6976241110091,-19.4517897294938
5481,"Grafters, The","Lynde","1904",41,-5.97679143915622,31.8202585557944
-1097371610,"Race for Wealth, The","Riddell","1866",7,53.7731781960797,-30.6367217701154
20110,"Mr Meeson's Will","Haggard","",26,60.197000202703,-11.7867345263774
1634835565,"Queen Kate","Garvice","1909",35,-56.0982839943481,27.1506225784101
-2092154778,"Sherriff of Dyke Hole, The","Cullum","1909",20,-27.7873445417588,44.5194785120083
-519773355,"After Dark","Collins","1856",1,60.035825894402,-20.0744472015711
19936,"Jess","Haggard","",10,56.1286283558649,-15.0409759202227
303131985,"Mollie Deverill","Yorke","1909",26,-35.8016454428405,45.6339999962038
15766,"Crossing, The","Churchill","1904",43,-13.5477670312432,-4.91688496515721
20580,"Won by Waiting","Lyall","1879",22,55.7726390500055,-23.5510650748668
-1520682195,"Katharine Frensham","Harraden","1903",51,-11.5112873267958,-15.7697277601061
81557616,"My Sword for Lafayette","Pemberton","1906",20,-31.7228539734519,12.1144176769781
-1151889584,"Under the Rose","Isham","1903",25,-19.3768112269432,3.85989733450778
-1629103190,"Secret, The","Oppenheim","1907",44,-35.3746819036487,9.23352375085067
20535,"Welsh Singer, A","Raine","",25,-31.1634523696769,-26.7100382097332
20198,"Phyllis of the Sierras, A","Harte","1888",10,35.3504500030459,-18.8088465030562
-1584290599,"Mother's Little Girl","Turner","1904",25,-7.30297097861883,-3.04972647892801
1713992898,"Lady of the Cameo, The","Gallon","1903",24,-3.08670910451943,-13.3148487555148
-1278170053,"Adventures of Captain Kettle","Hyne","1898",18,32.8490108313197,-24.8922061011040
-1737497338,"City of Mystery, The","Gunter","1904",37,-10.6613228710944,17.7973989917455
310711718,"Breachley, Black Sheep","Becke","1902",25,-41.9546771330681,17.8156984160897
20822,"Bondman, The","Caine","",22,-9.23068643380276,-47.5563421604411
19943,"Joe Wilson and His Mates","Lawson","",28,11.3365231279051,-3.37284530184300
