"LibraryID","WorkID"
1118369451,-1741118007
-414404825,-1741013917
1118369451,-1740820368
2,-1737497338
-468206372,-1737497338
2,-1734021530
1118369451,-1734021530
1108618849,-1732718961
-468206372,-1732718961
1118369451,-1729176439
2,-1722241172
-468206372,-1722241172
1118369451,-1722241172
2,-1713438834
1118369451,-1712931078
-414404825,-1706272021
1118369451,-1701612767
2,-1694981415
1108618849,-1692017997
-414404825,-1692017997
-468206372,-1692017997
1118369451,-1689997503
-414404825,-1688527335
1118369451,-1686526082
-414404825,-1674220132
2,-1668047650
1108618849,-1668047650
-414404825,-1662114132
1118369451,-1660744628
2,-1655511666
-468206372,-1655511666
1118369451,-1652678851
2,-1652056669
1108618849,-1652056669
1108618849,-1643921139
2,-1640077323
2,-1639511846
1108618849,-1639511846
1118369451,-1630034735
2,-1629103190
1108618849,-1629103190
-468206372,-1629103190
1118369451,-1629103190
2,-1620246891
-468206372,-1620246891
2,-1618499652
-414404825,-1615721016
1118369451,-1612634041
2,-1612206014
2,-1607419416
-414404825,-1604567657
1118369451,-1604500223
1118369451,-1603705704
2,-1601088210
-468206372,-1601088210
2,-1595459828
1118369451,-1595459828
1118369451,-1586464136
2,-1584290599
-414404825,-1580417247
2,-1572539016
-414404825,-1572539016
-414404825,-1563362092
2,-1561099026
2,-1560984391
1108618849,-1560984391
1108618849,-1554900957
-468206372,-1554900957
2,-1546612848
-414404825,-1546368718
1118369451,-1545885832
1118369451,-1545729492
2,-1544072505
-414404825,-1536956159
-468206372,-1535521230
1118369451,-1535521230
-414404825,-1534243178
-414404825,-1528126725
1118369451,-1528126725
2,-1526581491
-468206372,-1526581491
2,-1520682195
1108618849,-1520682195
-468206372,-1520682195
1118369451,-1517508680
1118369451,-1516999058
-414404825,-1503103644
1108618849,-1502047758
1118369451,-1502047758
2,-1499887260
1108618849,-1499887260
-414404825,-1499334607
2,-1495130671
1118369451,-1492557834
1108618849,-1487965312
1118369451,-1487965312
2,-1484065647
1108618849,-1484065647
2,-1482058543
-414404825,-1472498833
1118369451,-1472498833
1118369451,-1461767349
-414404825,-1459792137
-468206372,-1459792137
1118369451,-1458349801
-414404825,-1441698088
1108618849,-1439320474
1118369451,-1439320474
-468206372,-1438066158
-414404825,-1427646499
1108618849,-1427646499
-468206372,-1427646499
2,-1424790954
1118369451,-1421383892
2,-1412440851
1108618849,-1412440851
2,-1410621235
2,-1410232671
-414404825,-1410232671
1108618849,-1408668124
1118369451,-1408668124
2,-1408336355
1118369451,-1408090087
2,-1405806611
1108618849,-1405806611
-468206372,-1405806611
-414404825,-1397042007
2,-1395917147
2,-1390422914
1118369451,-1390422914
1118369451,-1386427664
2,-1379886142
-468206372,-1378767682
