"WorkID","Title","Year","Author","LibraryID","NumBorrowers","x","y"
-137472687,"In Happy Hollow","1903","Adeler",2,22,15.5085446516263,-25.2872777526094
1244582883,"Lover or Friend?","1890","Carey",2,34,49.0714636251874,-20.2374932414062
-1840193033,"Bishop of Cottontown, The","1906","Moore",2,34,-19.3958306300011,32.0881562846850
-676929927,"St Martin's Eve","1866","Wood",2,26,59.2362380534907,-26.9682049699714
-847622184,"Renshaw Fanning's Quest","1894","Mitford",2,31,23.8148428361560,-18.289650414417
893880495,"Mam' Linda","1907","Harben",2,43,-33.1511067908855,16.6896431786536
5400,"Foot of the Rainbow, The","","Porter",2,26,-61.1705043987711,7.52312723372621
-2110757282,"Imposter, The","1905","Bindloss",2,40,-55.4606643064377,0.59783184521527
893561703,"Man from Downing Street, The","1904","Le Queux",2,37,0.755775880398393,-19.8319834728605
20846,"Adventures of Sherlock Holmes, The","1892","Doyle",2,42,5.43410871997044,-33.8162245150414
3791,"Connie Burt","","Boothby",2,71,48.3380879195201,-22.5436758196668
-668880875,"Captain Fortune","1904","Watson",2,31,4.00585512482976,-4.7016736524892
-2025308897,"Mary Gray","1908","Tynan",2,30,-42.4592353194659,15.8638380359850
1348834191,"Whirlwind's Year","1908","Gould",2,42,-29.0150715984799,-28.4558502647362
16112,"Shorty McCabe","","Ford",2,31,-8.17810391779468,17.5294085583148
875144713,"Mettle of the Pasture, The","1903","Allen",2,24,16.070746279505,17.6085460104308
-1944544139,"Tragedy of Pudd'n'head Wilson, The","1894","Twain",2,22,-16.3320943521595,-10.5484802875002
-1655511666,"McTodd","1903","Hyne",2,20,13.3359838816475,-23.4767293677035
-518949711,"Successor, The","1904","Pryce",2,22,3.22158097825666,14.2344931050838
2624,"Show Girl, The","","Pemberton",2,31,-58.11965389098,5.00196335223285
1723285035,"Rose of Judah, The","1899","Griffith",2,22,27.7635995291618,-27.0127156677260
1817343039,"Master of Beechwood, The","1902","Sergeant",2,24,40.313540904738,7.19144490484644
2036705423,"Little Shepherd of Kingdom Come, The","1902","Fox",2,69,48.3973292748317,9.44138206556313
131459422,"Sirdar's Oath, The","1904","Mitford",2,31,28.7072456881139,-5.50125107194434
-1629103190,"Secret, The","1907","Oppenheim",2,44,-18.7421700485004,23.0929768491084
87354475,"Heart of Rome, The; a Tale of the 'Lost Water'","1903","Crawford",2,26,17.5449617678049,-0.533862480915856
257677773,"Boy in Green, The","1906","Gould",2,47,22.2896761305833,-42.9629737832618
1685842652,"Rogue in Love, A","1900","Gallon",2,22,-8.80785414438629,-20.8887336509876
14605,"Stolen Souls","","Le Queux",2,37,-9.44576378158552,1.29058210871074
-1424790954,"St Jude's","1907","Maclaren",2,20,-33.8097864876738,-8.67728658910644
-2102064549,"Wire Tappers, The","1906","Stringer",2,38,-34.966139714095,8.26375960491588
3744,"Cave Man, The","","Corbin",2,35,-22.8400109921853,12.5343900823311
1494621830,"Darrel of the Blessed Isles","1903","Bacheller",2,30,28.6706489560263,36.3688595799187
3622457,"Yellow Diamond, The","1904","Sergeant",2,38,39.84159273877,2.66731702891531
144832737,"Prince Rupert, the Bucaneer","1901","Hyne",2,28,7.2594375835368,-26.2567565643802
701011270,"Not So Bad after All","1897","Gould",2,21,12.6899996545514,-47.4021920045481
1380116378,"Thrown Away","1894","Gould",2,35,18.1224763744083,-55.2277550505892
20211,"Port of Missing Men","","Nicholson",2,34,-21.1799057734356,19.1120813889363
1475091808,"Iron Heel, The","1907","London",2,25,-42.2335249651072,-1.98945084639861
5515,"Lest We Forget","1901","Hocking",2,40,56.208515650672,4.33116585725428
15764,"Coniston","","Churchill",2,24,-15.0391938446918,11.4453983704688
2153,"Allan's Wife","1889","Haggard",2,24,-15.3859123634577,-25.2076329473668
-1939070543,"Master Mummer, The","1904","Oppenheim",2,54,-11.6209173285962,-23.4173895508424
-1888563677,"Guinea Stamp, The","1892","Swan",2,45,46.791287921964,4.76478281231944
1434188123,"Nurse Charlotte","1904","Meade",2,37,32.9156046440606,9.4258660250758
-64493603,"Adventures of Brigadier Gerard, The","1903","Doyle",2,41,5.38968848516062,-26.2230231993011
3686,"Brewster's Millions","1902","McCutcheon",2,52,-22.64995446512,33.2452157710693
17125,"Lin McLean","","Wister",2,40,-2.95942910544963,0.735816005379173
-978139911,"Strong Man's Vow, A","1907","Hocking",2,42,-25.6181573509224,1.8202315804984
-965181658,"Sirocco","1907","Brown",2,27,-63.4845700243412,25.5089033354221
2121677673,"Back at Our Selection","1906","Rudd",2,38,-30.4350956639435,6.84428788979426
1094615227,"White Mice, The","1909","Davis",2,35,-46.2516311733685,2.28271165829255
20462,"Three Men in a Boat","","Jerome",2,22,31.9171711942805,13.6735678562279
15320,"Vagabond, The","","Palmer",2,41,35.1178626744275,-6.6221737534262
-493241832,"Anthea's Way","1903","Sergeant",2,23,-21.1868144598202,9.09325411815768
-412340032,"It Came to Pass","1903","Fenn",2,25,52.2021299228494,-6.60852211674654
-1100039304,"Held for Others","1901","Spearman",2,29,-37.5138353846116,32.0771185247038
1084529745,"White Witch of Mayfair, The","1902","Griffith",2,24,-3.28536779879948,-25.9250924587284
3124,"Prospector, The","","Connor",2,43,1.87440943377908,36.8872729744587
-1412440851,"Wheel o' Fortune, The","1908","Tracy",2,33,-45.0572929833125,17.7998107097110
5453,"Giant's Gate, The","","Pemberton",2,23,15.0347338366714,-19.8991426764364
579936819,"For Love or Crown","1901","Marchmont",2,21,-56.5082506047042,20.1550663067573
-1967756015,"Through Sorrow's Gate","1904","Sutcliffe",2,33,18.2525863555509,10.9126654832854
21115,"Lost Leader, A","1906","Oppenheim",2,51,-23.8770764147434,4.51099344848335
-1561099026,"Man's Fear, A","1903","Drummond",2,28,1.88119430752859,-17.4455573904757
3783,"Compact, The","","Cullum",2,26,-34.7516551546248,0.295230305163348
20023,"Lure of the Mask, The","","McGrath",2,32,-50.2296894911866,14.4926108153316
2689,"Tangled Skein, The","1907","Orczy",2,25,-49.281864148695,19.9663863887045
2119692847,"Helen Adair","1903","Becke",2,38,-33.4429519429831,7.4774409635056
3252,"Meg the Lady","","Gallon",2,47,5.98836461733524,6.51258630655469
-157776505,"Half a Hero","1893","Hope",2,39,-20.715480300295,32.2188561847308
-1019190374,"Pomeroy Abbey","1881","Wood",2,29,63.4246032123679,-26.1645603088058
-723135260,"Dark Horse, The","1899","Gould",2,22,18.5321162666023,-59.6120018055483
1699734867,"Free Soil, Free Soul","1903","Cleeve",2,35,6.23268891717325,-15.1382114987275
-1171625876,"Albert Gate Affair, The","1904","Tracy",2,49,23.4439237468116,-9.17319393356536
-683310396,"Man from Red Keg, The","1905","Thwing",2,25,-8.15541627657672,-3.80916140417746
-2069223754,"American Prisoner, The","1904","Phillpotts",2,45,1.40048659159831,3.38313994386824
-1900821874,"Faith of Men and Other Stories, The","1904","London",2,22,3.80942689401161,11.7965317884538
656,"Sir Roger's Heir","","Moore",2,34,11.6614361579064,3.13201674161133
19895,"House of a Thousand Candles, The","","Nicholson",2,41,-12.9782882266542,16.5167532310620
20229,"Prodigal Son, The","1904","Caine",2,24,30.4029802785884,11.2191402289740
-888585595,"Original Woman, The","1904","Moore",2,24,11.3237295316081,7.58354809455262
-433152778,"Tracks We Tread, The","1907","Lancaster",2,26,-45.011423944459,4.34646207389097
4420,"My Official Wife","","Savage",2,42,47.1726367889986,-14.4078360131736
-1970625424,"Red Saint, The","1909","Deeping",2,22,-67.2376570403522,10.2156536802700
-1639511846,"Master of Men","1901","Oppenheim",2,82,39.0604066439392,-10.9780733545995
1634835565,"Queen Kate","1909","Garvice",2,35,-50.0421410234087,11.1580425128724
20404,"Squatter's Dream, The","1890","Boldrewood",2,28,25.5470724284546,-53.0834841384407
414267312,"One in Charity","1893","Hocking",2,31,-18.6914554515843,16.0923973708326
1629977508,"Malincourt Keep","1904","Sergeant",2,40,23.1293090129692,22.7041655252834
-580014552,"Briar and Palm","1887","Swan",2,53,42.7290184051456,5.70703006613337
1199918034,"Proud Prince, The","1903","McCarthy",2,23,27.1981060479049,20.7224623627166
1799115352,"Johanna","1903","Croker",2,24,59.5685943483878,-5.04884983133165
269756263,"Rue with a Difference","1900","Carey",2,36,51.5502344925089,23.7196554961665
